,input_testData,MR_Transformed,output_testInput,output_MR,MR_checker
0,"[-17, 5, 13, 1, 18, 5, -7, -19, -11, 8, 11]","[-17, 13, 11, -19, 8, -7, 5, 1, 18, 5, -11]",7,21,Not-violated
1,"[3, 10, 13, -4, 13, 17, -8]","[3, 17, -4, 13, 10, -8, 13]",44,132,Violated
2,"[19, -1, -12, 4, 16, -2, 3, 0, -6, 2, -14, -5]","[-12, -2, 2, 16, 19, -5, 0, -6, -1, 4, 3, -14]",4,12,Violated
3,"[-11, 4, -12, 14, -10]","[-11, 4, -12, -10, 14]",-15,-45,Violated
4,"[5, -6, 16, -9, 15, 18]","[16, 5, 15, -9, -6, 18]",39,117,Not-violated
5,"[-12, -1, -4, 11, -3, -4, 19, -9, 17, 15, -10, 8, -7, 7]","[-1, 7, -3, -4, 8, -12, -10, 11, -4, 15, -7, 17, -9, 19]",27,81,Not-violated
6,"[1, -5, -1, -4]","[1, -1, -5, -4]",-9,-27,Violated
7,"[18, 15, -12, 3, 9, -11, -18, 9, -1, 10, 0, 10, -12]","[-12, 10, -18, -11, 3, -12, 9, 0, 9, -1, 10, 18, 15]",20,60,Violated
8,"[4, 13, 17, 13, 5, 17, -11, 9, -15, -10, -10]","[4, -11, -10, 13, -10, 5, 9, 13, 17, 17, -15]",32,96,Violated
9,"[-13, 0, 2, 7, 3, -9, -13, 8]","[3, -13, 7, 8, 0, -9, 2, -13]",-15,-45,Not-violated
10,"[-11, -11, -3, -1, 2, -12, -12, -16, -11, -4]","[-11, -11, -11, -3, -16, -1, 2, -12, -4, -12]",-79,-237,Violated
11,"[16, -5, 10, -10, 4, -16, -8]","[-10, 4, -5, -8, 16, -16, 10]",-9,-27,Violated
12,"[13, 19, -2, -19, 11, 17, 1]","[19, 17, -2, 11, -19, 1, 13]",40,120,Not-violated
13,"[10, 18, -16, 3, 0, 6, 3, 2, 1, 19, 5]","[2, 18, 0, 3, 6, 5, 10, 19, 3, -16, 1]",51,153,Not-violated
14,"[-14, -6, 4, 14, 8, 7, 15, 17, -8]","[-8, 7, 14, 15, -6, 4, -14, 17, 8]",37,111,Violated
15,"[11, -13, -9, 9, -19]","[9, 11, -19, -13, -9]",-21,-63,Violated
16,"[8, -15, 17]","[8, 17, -15]",10,30,Not-violated
17,"[-13, -1, -14, 11, 16, 2, -13, -1]","[-13, -14, 2, -13, 16, 11, -1, -1]",-13,-39,Violated
18,"[12, 7, -15, -16, -15, -7, 3, 9, -17, 11, -8, 7, -3]","[-17, 7, -15, 12, -16, 9, -8, 7, 11, -7, -15, -3, 3]",-32,-96,Violated
19,"[-4, -8, -7, 6, 3, -20, -1, 13, 12, 6, 9]","[-8, 12, 13, -7, 6, -1, 9, 6, 3, -4, -20]",9,27,Not-violated
20,"[0, 0, 11, -9, 5, -8, 5, 0, -9, 6, -16, -20, 9]","[-9, -8, 0, -16, 6, 11, 0, 5, 9, -20, 0, -9, 5]",-26,-78,Not-violated
21,"[6, 1, -14, 13, -3, -18]","[13, -3, 1, 6, -18, -14]",-15,-45,Violated
22,"[7, 19, 10, 6, 17, 15]","[10, 7, 15, 17, 19, 6]",74,222,Not-violated
23,"[-12, 10, -18, -13, 3, 11, -14, 16]","[11, -13, -14, 3, 16, -18, -12, 10]",-17,-51,Not-violated
24,"[2, 18, 15, 15, -3, 15, 7, 8, 10, 3, -14, 15, -1]","[18, 15, -3, 7, 15, -1, -14, 15, 10, 2, 15, 3, 8]",90,270,Violated
25,"[-15, -12, 6, 4, -6, 17, 8, 1, 10, -17, -1, -1, -17, 9]","[9, 10, -1, -17, -6, -15, -12, 1, -17, 6, 8, -1, 17, 4]",-14,-42,Not-violated
26,"[-16, -19, -19, 13, 6, 16, -17]","[-16, -17, -19, -19, 16, 13, 6]",-36,-108,Violated
27,"[-19, -11, 12, -15, -1, -8, 2, -6, -2]","[-15, 2, -6, -2, -1, -11, 12, -19, -8]",-48,-144,Violated
28,"[0, -13, 1]","[1, -13, 0]",-12,-36,Not-violated
29,"[-8, -17, -9, 17, -11, -1, -6]","[-8, -11, -9, -6, -1, 17, -17]",-35,-105,Violated
30,"[6, -6, -10, 6, -14, -18]","[6, 6, -14, -6, -18, -10]",-36,-108,Violated
31,"[-7, 11, -7, 12, 10, 13, 4]","[-7, -7, 10, 12, 11, 4, 13]",36,108,Not-violated
32,"[-4, -13, 11, -4, 4, -2, -6, 10]","[-2, 11, -4, 10, -13, 4, -6, -4]",-4,-12,Not-violated
33,"[5, 10, 10, 12, 15, 2, 13, -11, 1]","[13, -11, 2, 1, 12, 5, 10, 10, 15]",57,171,Not-violated
34,"[-6, 6, 6, -3, -14, 11, 6, -8, 7, -8, -20]","[6, -8, -20, 11, 6, 6, -3, -8, 7, -6, -14]",-23,-69,Violated
